countryCode,Country,popData2018,GDP,GDP/capita
AFG,Afghanistan,37172386,21992,619
ALB,Albania,2866376,13039,4450
DZA,Algeria,42228429,167555,4055
AND,Andorra,77006,3278,39153
AGO,Angola,30809762,126505,4247
AIA,Anguilla,14731,311,29493
ATG,Antigua and Barbuda,96286,1248,14803
ARG,Argentina,44494502,637486,14400
ARM,Armenia,2951776,11536,3937
ABW,Aruba,105845,2664,25655
AUS,Australia,24992369,1408675,57613
AUT,Austria,8847037,416835,47718
AZE,Azerbaijan,9942334,40748,4146
BHS,Bahamas,385640,11791,29825
BHR,Bahrain,1569439,35325,23688
BGD,Bangladesh,161356039,254646,1492
BRB,Barbados,286641,4353,16494
BLR,Belarus,9485386,54441,5750
BEL,Belgium,11422068,494763,43289
BLZ,Belize,383071,1902,5077
BEN,Benin,11485048,9236,826
BMU,Bermuda,63968,5601,102192
BTN,Bhutan,754394,2562,3173
BOL,Bolivia,11353142,37508,3394
BES,Bonaire Sint Eustatius and Saba,25987,428,16470
BIH,Bosnia and Herzegovina,3323929,18169,5181
BWA,Botswana,2254126,17406,7596
BRA,Brazil,209469333,2055512,9821
VGB,British Virgin Islands,29802,902,31917
BRN,Brunei,428962,12128,28291
BGR,Bulgaria,7024216,58222,8218
BFA,Burkina Faso,19751535,12324,642
BDI,Burundi,11175378,2869,290
KHM,Cambodia,16249798,22121,1382
CMR,Cameroon,25216237,34924,1452
CAN,Canada,37058856,1647120,44974
CPV,Cape Verde,543767,1855,3245
CYM,Cayman Islands,64174,3480,65472
CAF,Central African Republic,4666377,1992,428
TCD,Chad,15477751,10716,719
CHL,Chile,18729160,277080,15347
CHN,China,1392730000,12234781,8682
COL,Colombia,49648685,309191,6302
COM,Comoros,832322,648,1330
COG,Congo,5244363,11292,2147
CRI,Costa Rica,4999441,57564,11734
CIV,Cote d'Ivoire,25069229,38054,1566
HRV,Croatia,4089400,55201,13177
CUB,Cuba,11338138,96851,8433
CUW,Curacao,159849,3159,19586
CYP,Cyprus,1189265,22054,25790
CZE,Czech Republic,10625695,215824,20326
COD,Democratic Republic of Congo,84068091,37642,463
DNK,Denmark,5797446,329865,57533
DJI,Djibouti,958920,1844,1928
DMA,Dominica,71625,533,6719
DOM,Dominican Republic,10627165,75931,7052
ECU,Ecuador,17084357,104295,6273
EGY,Egypt,98423595,195135,2000
SLV,El Salvador,6420744,24805,3889
GNQ,Equatorial Guinea,1308974,12487,9850
ERI,Eritrea,3546421,3858,1147
EST,Estonia,1320884,25921,19793
ETH,Ethiopia,109224559,75605,720
FRO,Faeroe Islands,48497,2707,55823
FLK,Falkland Islands,3398,228,96962
FJI,Fiji,883483,4532,5382
FIN,Finland,5518050,252246,45670
FRA,France,66987244,2582492,38415
PYF,French Polynesia,277679,5623,19807
GAB,Gabon,2119275,14623,7221
GMB,Gambia,2280102,851,709
GEO,Georgia,3731000,15159,3875
DEU,Germany,82927922,3693204,44976
GHA,Ghana,29767108,58996,2046
GIB,Gibraltar,33718,2134,63309
GRC,Greece,10727668,203085,18198
GRL,Greenland,56025,2441,49398
GRD,Grenada,111454,884,10451
GUM,Guam,165768,5920,35713
GTM,Guatemala,17247807,75619,4471
GGY,Guernsey,63026,4110,65219
GIN,Guinea,12414318,10208,803
GNB,Guinea-Bissau,1874309,1209,724
GUY,Guyana,779004,3086,4555
HTI,Haiti,11123176,8521,776
HND,Honduras,9587522,22978,2480
HKG,Hong Kong,7482500,490880,64928
HUN,Hungary,9768785,139761,14376
ISL,Iceland,353574,24476,73060
IND,India,1352617328,2575666,1923
IDN,Indonesia,267663435,1015539,3847
IRN,Iran,81800269,460976,5680
IRQ,Iraq,38433600,182023,4756
IRL,Ireland,4853506,331430,69604
IMN,Isle of Man,84077,7112,84600
ISR,Israel,8883800,353268,42452
ITA,Italy,60431283,1943835,32747
JAM,Jamaica,2934855,14826,5130
JPN,Japan,126529100,4872415,38220
JEY,Jersey,106800,6408,60000
JOR,Jordan,9956011,40708,4196
KAZ,Kazakhstan,18276499,159406,8756
KEN,Kenya,51393010,74938,1508
RKS,Kosovo,1845300,7227,4116
KWT,Kuwait,4137309,119534,28897
KGZ,Kyrgyzstan,6315800,7564,1251
LAO,Laos,7061507,16853,2457
LVA,Latvia,1926542,30463,15625
LBN,Lebanon,6848925,53393,8778
LBR,Liberia,4818977,2122,584
LBY,Libya,6678567,25127,3942
LIE,Liechtenstein,37910,6295,166022
LTU,Lithuania,2789533,47544,16450
LUX,Luxembourg,607728,62316,106806
MKD,Macedonia,2082958,11279,5415
MDG,Madagascar,26262368,10674,517
