Code,Country,Continent,Date,NewCases,NewDeaths,Recovered,NewTests,Population,GDP,GDPCapita,Month,Week,CumCases,CumDeaths,CumRecovered,CumTests,Active,FatalityRate,Cases_1M_Pop,Deaths_1M_Pop,Recovered_1M_Pop,Tests_1M_Pop
AFG,Afghanistan,Asia,2020-01-01,0,0,0,0,37172386,21992,619,1,1,0,0,0,0,0,0,0,0,0,0
DZA,Algeria,Africa,2020-01-01,0,0,0,0,42228429,167555,4055,1,1,0,0,0,0,0,0,0,0,0,0
ARM,Armenia,Europe,2020-01-01,0,0,0,0,2951776,11536,3937,1,1,0,0,0,0,0,0,0,0,0,0
AUS,Australia,Oceania,2020-01-01,0,0,0,0,24992369,1408675,57613,1,1,0,0,0,0,0,0,0,0,0,0
AUT,Austria,Europe,2020-01-01,0,0,0,0,8847037,416835,47718,1,1,0,0,0,0,0,0,0,0,0,0
AZE,Azerbaijan,Europe,2020-01-01,0,0,0,0,9942334,40748,4146,1,1,0,0,0,0,0,0,0,0,0,0
BHR,Bahrain,Asia,2020-01-01,0,0,0,0,1569439,35325,23688,1,1,0,0,0,0,0,0,0,0,0,0
BLR,Belarus,Europe,2020-01-01,0,0,0,0,9485386,54441,5750,1,1,0,0,0,0,0,0,0,0,0,0
BEL,Belgium,Europe,2020-01-01,0,0,0,0,11422068,494763,43289,1,1,0,0,0,0,0,0,0,0,0,0
BRA,Brazil,South America,2020-01-01,0,0,0,0,209469333,2055512,9821,1,1,0,0,0,0,0,0,0,0,0,0
KHM,Cambodia,Asia,2020-01-01,0,0,0,0,16249798,22121,1382,1,1,0,0,0,0,0,0,0,0,0,0
CAN,Canada,North America,2020-01-01,0,0,0,0,37058856,1647120,44974,1,1,0,0,0,0,0,0,0,0,0,0
CHN,China,Asia,2020-01-01,27,0,0,0,1392730000,12234781,8682,1,1,27,0,0,0,27,0,0.01938638501360637,0,0,0
HRV,Croatia,Europe,2020-01-01,0,0,0,0,4089400,55201,13177,1,1,0,0,0,0,0,0,0,0,0,0
CZE,Czech Republic,Europe,2020-01-01,0,0,0,0,10625695,215824,20326,1,1,0,0,0,0,0,0,0,0,0,0
DNK,Denmark,Europe,2020-01-01,0,0,0,0,5797446,329865,57533,1,1,0,0,0,0,0,0,0,0,0,0
DOM,Dominican Republic,North America,2020-01-01,0,0,0,0,10627165,75931,7052,1,1,0,0,0,0,0,0,0,0,0,0
ECU,Ecuador,South America,2020-01-01,0,0,0,0,17084357,104295,6273,1,1,0,0,0,0,0,0,0,0,0,0
EGY,Egypt,Africa,2020-01-01,0,0,0,0,98423595,195135,2000,1,1,0,0,0,0,0,0,0,0,0,0
EST,Estonia,Europe,2020-01-01,0,0,0,0,1320884,25921,19793,1,1,0,0,0,0,0,0,0,0,0,0
FIN,Finland,Europe,2020-01-01,0,0,0,0,5518050,252246,45670,1,1,0,0,0,0,0,0,0,0,0,0
FRA,France,Europe,2020-01-01,0,0,0,0,66987244,2582492,38415,1,1,0,0,0,0,0,0,0,0,0,0
GEO,Georgia,Europe,2020-01-01,0,0,0,0,3731000,15159,3875,1,1,0,0,0,0,0,0,0,0,0,0
DEU,Germany,Europe,2020-01-01,0,0,0,0,82927922,3693204,44976,1,1,0,0,0,0,0,0,0,0,0,0
GRC,Greece,Europe,2020-01-01,0,0,0,0,10727668,203085,18198,1,1,0,0,0,0,0,0,0,0,0,0
ISL,Iceland,Europe,2020-01-01,0,0,0,0,353574,24476,73060,1,1,0,0,0,0,0,0,0,0,0,0
IND,India,Asia,2020-01-01,0,0,0,0,1352617328,2575666,1923,1,1,0,0,0,0,0,0,0,0,0,0
IDN,Indonesia,Asia,2020-01-01,0,0,0,0,267663435,1015539,3847,1,1,0,0,0,0,0,0,0,0,0,0
IRN,Iran,Asia,2020-01-01,0,0,0,0,81800269,460976,5680,1,1,0,0,0,0,0,0,0,0,0,0
IRQ,Iraq,Asia,2020-01-01,0,0,0,0,38433600,182023,4756,1,1,0,0,0,0,0,0,0,0,0,0
IRL,Ireland,Europe,2020-01-01,0,0,0,0,4853506,331430,69604,1,1,0,0,0,0,0,0,0,0,0,0
